fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-01-01,AA,AA,AA,2041,AA,N923US,2041,11057,CLT,"Charlotte, NC",13487,MSP,"Minneapolis, MN",2250,2247,-3,23,2310,23,4,34,27,-7,0,,0,N,164,160,133,1,930,,,,,,,,,
2019-01-01,AA,AA,AA,2042,AA,N660AW,2042,14771,SFO,"San Francisco, CA",14107,PHX,"Phoenix, AZ",600,551,-9,17,608,841,11,902,852,-10,0,,0,N,122,121,93,1,651,,,,,,,,,
2019-01-01,AA,AA,AA,2043,AA,N967UW,2043,12953,LGA,"New York, NY",10397,ATL,"Atlanta, GA",2111,2056,-15,22,2118,2326,7,2342,2333,-9,0,,0,N,151,157,128,1,762,,,,,,,,,
2019-01-01,AA,AA,AA,2044,AA,N922US,2044,12892,LAX,"Los Angeles, CA",11057,CLT,"Charlotte, NC",810,806,-4,15,821,1521,7,1548,1528,-20,0,,0,N,278,262,240,1,2125,,,,,,,,,
2019-01-01,AA,AA,AA,2045,AA,N819AW,2045,11986,GRR,"Grand Rapids, MI",14107,PHX,"Phoenix, AZ",1604,1607,3,25,1632,1841,4,1835,1845,10,0,,0,N,271,278,249,1,1574,,,,,,,,,
2019-01-01,AA,AA,AA,2045,AA,N819AW,2045,14107,PHX,"Phoenix, AZ",11986,GRR,"Grand Rapids, MI",935,933,-2,11,944,1436,5,1508,1441,-27,0,,0,N,213,188,172,1,1574,,,,,,,,,
2019-01-01,AA,AA,AA,2046,AA,N926UW,2046,11057,CLT,"Charlotte, NC",15304,TPA,"Tampa, FL",930,925,-5,18,943,1101,4,1112,1105,-7,0,,0,N,102,100,78,1,507,,,,,,,,,
2019-01-01,AA,AA,AA,2046,AA,N926UW,2046,15304,TPA,"Tampa, FL",11057,CLT,"Charlotte, NC",1202,1203,1,11,1214,1324,11,1345,1335,-10,0,,0,N,103,92,70,1,507,,,,,,,,,
2019-01-01,AA,AA,AA,2047,AA,N171US,2047,11057,CLT,"Charlotte, NC",14107,PHX,"Phoenix, AZ",1750,1745,-5,10,1755,2006,6,2032,2012,-20,0,,0,N,282,267,251,1,1773,,,,,,,,,
2019-01-01,AA,AA,AA,2048,AA,N551UW,2048,14107,PHX,"Phoenix, AZ",14893,SMF,"Sacramento, CA",2132,2128,-4,16,2144,2221,8,2244,2229,-15,0,,0,N,132,121,97,1,647,,,,,,,,,
2019-01-01,AA,AA,AA,2049,AA,N165US,2049,11057,CLT,"Charlotte, NC",15304,TPA,"Tampa, FL",1450,1454,4,19,1513,1629,3,1631,1632,1,0,,0,N,101,98,76,1,507,,,,,,,,,
2019-01-01,AA,AA,AA,2050,AA,N835AW,2050,12339,IND,"Indianapolis, IN",12892,LAX,"Los Angeles, CA",656,654,-2,12,706,828,15,904,843,-21,0,,0,N,308,289,262,1,1814,,,,,,,,,
2019-01-01,AA,AA,AA,2051,AA,N802AW,2051,11278,DCA,"Washington, DC",11057,CLT,"Charlotte, NC",1025,1016,-9,13,1029,1138,19,1202,1157,-5,0,,0,N,97,101,69,1,331,,,,,,,,,
2019-01-01,AA,AA,AA,2052,AA,N927UW,2052,13930,ORD,"Chicago, IL",11057,CLT,"Charlotte, NC",724,738,14,11,749,1010,11,1024,1021,-3,0,,0,N,120,103,81,1,599,,,,,,,,,
2019-01-01,AA,AA,AA,2056,AA,N673AW,2056,11057,CLT,"Charlotte, NC",10529,BDL,"Hartford, CT",2214,2211,-3,17,2228,2352,4,2359,2356,-3,0,,0,N,105,105,84,1,644,,,,,,,,,
2019-01-01,AA,AA,AA,2057,AA,N723UW,2057,11057,CLT,"Charlotte, NC",11433,DTW,"Detroit, MI",1955,1951,-4,12,2003,2119,18,2143,2137,-6,0,,0,N,108,106,76,1,500,,,,,,,,,
2019-01-01,AA,AA,AA,2058,AA,N553UW,2058,11057,CLT,"Charlotte, NC",12953,LGA,"New York, NY",1215,1222,7,11,1233,1346,6,1400,1352,-8,0,,0,N,105,90,73,1,544,,,,,,,,,
2019-01-01,AA,AA,AA,2061,AA,N183UW,2061,11057,CLT,"Charlotte, NC",14771,SFO,"San Francisco, CA",2209,2204,-5,13,2217,23,11,51,34,-17,0,,0,N,342,330,306,1,2296,,,,,,,,,
2019-01-01,AA,AA,AA,2062,AA,N982VJ,2062,11057,CLT,"Charlotte, NC",14747,SEA,"Seattle, WA",1639,1642,3,17,1659,1915,10,1943,1925,-18,0,,0,N,364,343,316,1,2279,,,,,,,,,
2019-01-01,AA,AA,AA,2063,AA,N663AW,2063,14107,PHX,"Phoenix, AZ",15304,TPA,"Tampa, FL",1715,1756,41,15,1811,2341,5,2303,2346,43,0,,0,N,228,230,210,1,1788,19,0,2,0,22,,,,
2019-01-01,AA,AA,AA,2065,AA,N561UW,2065,11292,DEN,"Denver, CO",14107,PHX,"Phoenix, AZ",1503,1508,5,13,1521,1654,9,1702,1703,1,0,,0,N,119,115,93,1,602,,,,,,,,,
2019-01-01,AA,AA,AA,2066,AA,N971UY,2066,14100,PHL,"Philadelphia, PA",14679,SAN,"San Diego, CA",1828,1821,-7,21,1842,2103,5,2138,2108,-30,0,,0,N,370,347,321,1,2370,,,,,,,,,
2019-01-01,AA,AA,AA,2067,AA,N714US,2067,13198,MCI,"Kansas City, MO",11057,CLT,"Charlotte, NC",700,656,-4,22,718,958,15,1023,1013,-10,0,,0,N,143,137,100,1,808,,,,,,,,,
2019-01-01,AA,AA,AA,2068,AA,N915US,2068,11057,CLT,"Charlotte, NC",12953,LGA,"New York, NY",1430,1441,11,19,1500,1613,6,1616,1619,3,0,,0,N,106,98,73,1,544,,,,,,,,,
2019-01-01,AA,AA,AA,2068,AA,N915US,2068,12953,LGA,"New York, NY",11057,CLT,"Charlotte, NC",1717,1712,-5,31,1743,1917,4,1928,1921,-7,0,,0,N,131,129,94,1,544,,,,,,,,,
2019-01-01,AA,AA,AA,2069,AA,N840AW,2069,13303,MIA,"Miami, FL",13495,MSY,"New Orleans, LA",832,827,-5,11,838,920,3,940,923,-17,0,,0,N,128,116,102,1,675,,,,,,,,,
2019-01-01,AA,AA,AA,2069,AA,N840AW,2069,13495,MSY,"New Orleans, LA",13303,MIA,"Miami, FL",1021,1016,-5,11,1027,1252,7,1316,1259,-17,0,,0,N,115,103,85,1,675,,,,,,,,,
2019-01-01,AA,AA,AA,2070,AA,N176UW,2070,12889,LAS,"Las Vegas, NV",11057,CLT,"Charlotte, NC",803,800,-3,15,815,1442,6,1511,1448,-23,0,,0,N,248,228,207,1,1916,,,,,,,,,
2019-01-01,AA,AA,AA,2071,AA,N507AY,2071,11057,CLT,"Charlotte, NC",11618,EWR,"Newark, NJ",2212,2216,4,17,2233,2341,6,2355,2347,-8,0,,0,N,103,91,68,1,529,,,,,,,,,
2019-01-01,AA,AA,AA,2072,AA,N665AW,2072,11298,DFW,"Dallas/Fort Worth, TX",10397,ATL,"Atlanta, GA",1650,1647,-3,13,1700,1931,13,1951,1944,-7,0,,0,N,121,117,91,1,731,,,,,,,,,
2019-01-01,AA,AA,AA,2073,AA,N831AW,2073,12451,JAX,"Jacksonville, FL",11057,CLT,"Charlotte, NC",850,845,-5,16,901,1001,13,1023,1014,-9,0,,0,N,93,89,60,1,328,,,,,,,,,
